price	name	product_name	strength	pack_size	form	scientificName	scientific_category	consumer_category	company	route	description	imageUrl
40.0	أدولور 10 مجم 20 أقراص	أدولور	10 مجم	20	أقراص	كيتورولاس تروميثامين	مضاد التهاب - مشتق حمض الخليك	القلب والضغط	فاركو	فموي صلب	مسكن سريع المفعول مضاد للالتهاب لآلام العضلات والمفاصل والظهر والدورة الشهرية.	https://demov2.egypt.dawatech.com/web/image/product.template/18249/image_1920
2145.0	أدبورت 1 مجم 100 كبسولات	أدبورت	1 مجم	100	كبسولات	تاكروليموس	مثبط للمناعة	الأورام والمناعة	ساندوز > نوفارتيس فارما ساندوز ديفيسيون	فموي صلب	يهدّئ الجهاز المناعي المفرط النشاط في أمراض المناعة الذاتية أو بعد زراعة الأعضاء. يتطلب إشرافًا متخصصًا.	https://demov2.egypt.dawatech.com/web/image/product.template/509/image_1920
243.0	أدويتين 30 مجم 30 كبسولات	أدويتين	30 مجم	30	كبسولات	دولوكسيتين	مضادات الاكتئاب	الصحة النفسية	أدويا	فموي صلب	يعالج الاكتئاب والقلق عن طريق موازنة كيمياء المخ لتحسين المزاج. يُصرف بوصفة طبية.	https://demov2.egypt.dawatech.com/web/image/product.template/4563/image_1920
300.0	أدويتين 60 مجم 30 كبسولات	أدويتين	60 مجم	30	كبسولات	دولوكسيتين	مضادات الاكتئاب	الصحة النفسية	أدويا	فموي صلب	يعالج الاكتئاب والقلق عن طريق موازنة كيمياء المخ لتحسين المزاج. يُصرف بوصفة طبية.	https://demov2.egypt.dawatech.com/web/image/product.template/6651/image_1920
118.0	أيريوس 5 مجم 20 أقراص	أيريوس	5 مجم	20	أقراص	ديسلوراتادين	مضاد للهيستامين والحساسية	الحساسية	شيرينج بلاوغ > رامكو	فموي صلب	يخفف أعراض الحساسية مثل العطس والحكة وسيلان الأنف والشرى.	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/aerius-5-mg-20-tablets-614529.jpg?v=1687731892
50.0	أفتير ميلس 20 كبسولات	أفتير ميلس		20	كبسولات	تشاموميل + جينجير + أنيس + بروميلاين + فينيل + بيبيرمينت + باباين	اضطرابات الجهاز الهضمي	المعدة والهضم	نيرهاداو إنترناشيونال كو	فموي صلب	يخفف اضطرابات الهضم وعدم الراحة في المعدة.	https://demov2.egypt.dawatech.com/web/image/product.template/14013/image_1920
150.0	أجيولاكس إين حبيبات	أجيولاكس إين			حبيبات	إيسباغولا هوسك + بلانتاجو سيد + سينا	ملين	المعدة والهضم	سيد > فياتريس هيلث كير	فوار	يعالج الإمساك ويساعد على تسهيل حركة الأمعاء.	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/agiolax-granules-12-sachets-727347.jpg?v=1696872835
46.0	ألبيندازول 400 مجم 6 أقراص	ألبيندازول	400 مجم	6	أقراص	ألبيندازول	مضاد للديدان	مضادات الطفيليات	فارما كور فارماسيوتيكالز > فارما كور	فموي صلب	يعالج عدوى الديدان المعوية.	https://demov2.egypt.dawatech.com/web/image/product.template/14326/image_1920
81.0	ألبوستيكس 8 مجم 30 أقراص	ألبوستيكس	8 مجم	30	أقراص	كانديسارتان سيليكسيتيل	حاصر مستقبل الأنجيوتنسين (ARB)	القلب والضغط	فوتور فارماسيوتيكال إندستريز > كونكورد فارماسيوتيكال إندستريز	فموي صلب	يخفض ضغط الدم ويحمي القلب والكلى عن طريق ارتخاء الأوعية الدموية.	https://demov2.egypt.dawatech.com/web/image/product.template/15953/image_1920
95.5	ألكافتابرو 0.25% قطرة عين 3 مل	ألكافتابرو	0.25%	3 مل	قطرة عين	ألكافتادين	مضاد هيستامين - جيل ثانٍ	الحساسية	إيفا فارما	عيني	مضاد هيستامين قليل النعاس للعطس والحكة وسيلان الأنف والطفح التحسسي.	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/alcaftapro-025-eye-drops-3-ml-1626182.jpg?v=1758854003
879.0	ألدارا 5% 12 أكياس	ألدارا	5%	12	أكياس	إيميكويمود	معدّل للاستجابة المناعية	الفيتامينات والمكملات	ميدا أب > أون فارما تيتش	موضعي	يعدّل نشاط الجهاز المناعي لعلاج حالات معينة.	https://demov2.egypt.dawatech.com/web/image/product.template/1308/image_1920
111.0	ألدوميت 250 مجم 30 أقراص	ألدوميت	250 مجم	30	أقراص	ميثيلدوبا	منشط ألفا 2 مركزي	القلب والضغط	كاهيرا	فموي صلب	يخفض ضغط الدم عن طريق التأثير على تحكم المخ في الأوعية الدموية.	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/aldomet-250-mg-30-tablets-164866.jpg?v=1705421081
60.0	أليرجوليبير 10 مجم 20 أقراص	أليرجوليبير	10 مجم	20	أقراص	روباتادين	مضاد هيستامين - جيل ثانٍ	الحساسية	أتكو فارما	فموي صلب	مضاد هيستامين قليل النعاس للعطس والحكة وسيلان الأنف والطفح التحسسي.	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/alergoliber-10-mg-20-tablets-711195.jpg?v=1694881033
69.0	ألفاكلينداميسين 300 مجم 10 كبسولات	ألفاكلينداميسين	300 مجم	10	كبسولات	كليندامايسين	مضاد حيوي - لينكومايسين	المضادات الحيوية	أتكو فارما > روتابيوجين	فموي صلب	مضاد حيوي للعدوى البكتيرية الشديدة، منها التهابات العظام والجلد والأسنان.	https://demov2.egypt.dawatech.com/web/image/product.template/17066/image_1920
46.0	ألجيسال سوراكتيف كريم 40 جم	ألجيسال سوراكتيف		40 جم	كريم	دييثيلامين + ميرتيكاين + ساليسيليس أسيد	مسكن موضعي	العناية بالبشرة	تشيميفارم	موضعي	يوضع على الجلد لتخفيف آلام العضلات والمفاصل والآلام الموضعية.	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/algesal-suractive-cream-40-gm-276908.jpg?v=1687731894
108.0	ألكابريس 10 مجم 30 أقراص	ألكابريس	10 مجم	30	أقراص	أملوديبين	حاصر قنوات الكالسيوم	القلب والضغط	هيكما فارما	فموي صلب	يرخي الأوعية الدموية لخفض ضغط الدم وتخفيف ألم الصدر (الذبحة الصدرية).	https://demov2.egypt.dawatech.com/web/image/product.template/11277/image_1920
58.0	ألكابريس 5 مجم 20 أقراص	ألكابريس	5 مجم	20	أقراص	أملوديبين	حاصر قنوات الكالسيوم	القلب والضغط	هيكما فارما	فموي صلب	يرخي الأوعية الدموية لخفض ضغط الدم وتخفيف ألم الصدر (الذبحة الصدرية).	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/alkapress-5-mg-20-tablets-869347.jpg?v=1728527892
90.0	ألكابريد سكوريد 50 مجم 30 أقراص	ألكابريد سكوريد	50 مجم	30	أقراص	إيتوبريد	منشط لحركة المعدة	المعدة والهضم	فوتور فارماسيوتيكال إندستريز فبي > أوتوبيا	فموي صلب	يسرّع إفراغ المعدة لتخفيف الغثيان والانتفاخ والارتجاع.	https://demov2.egypt.dawatech.com/web/image/product.template/10411/image_1920
34.0	ألفينت شراب 125 مل	ألفينت		125 مل	شراب	بروميهيكسين + جوايفينيسين + مينثول + تيربوتالين	أدوية السعال	البرد والسعال	بورج	فموي سائل	يخفف السعال ويساعد على تنظيف الصدر.	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/all-vent-syrup-125-ml-400319.jpg?v=1687634952
78.0	ألير 5 مجم 20 أقراص	ألير	5 مجم	20	أقراص	ليفوسيتريزين	مضاد هيستامين غير مسبب للنعاس - جيل ثالث	الحساسية	ويستيرن فارماسيوتيكالز إندستريز	فموي صلب	مضاد هيستامين لا يسبب النعاس يخفف العطس والحكة وسيلان الأنف الناتج عن الحساسية.	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/allear-5-mg-20-tablets-325322.jpg?v=1696959822
38.0	أليربان س ر 2 مجم 20 أقراص	أليربان س ر	2 مجم	20	أقراص	كيتوتيفين	مضاد هيستامين - جيل ثانٍ	الحساسية	مولتيابيكس	فموي صلب	مضاد هيستامين قليل النعاس للعطس والحكة وسيلان الأنف والطفح التحسسي.	https://demov2.egypt.dawatech.com/web/image/product.template/15408/image_1920
84.0	أليرفين 180 مجم 20 أقراص	أليرفين	180 مجم	20	أقراص	فيكسوفينادين	مضاد للهيستامين والحساسية	الحساسية	أماون	فموي صلب	يخفف أعراض الحساسية مثل العطس والحكة وسيلان الأنف والشرى.	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/allerfen-180-mg-20-tablets-207446.jpg?v=1710451578
42.0	أليرفين 60 مجم 30 أقراص	أليرفين	60 مجم	30	أقراص	فيكسوفينادين	مضاد للهيستامين والحساسية	الحساسية	أماون	فموي صلب	يخفف أعراض الحساسية مثل العطس والحكة وسيلان الأنف والشرى.	https://demov2.egypt.dawatech.com/web/image/product.template/17109/image_1920
4.5	أليرجيكس 20 مجم 20 أقراص	أليرجيكس	20 مجم	20	أقراص	كلورفينوكسامين	مضاد للهيستامين والحساسية	الحساسية	إييبيكو	فموي صلب	يخفف أعراض الحساسية مثل العطس والحكة وسيلان الأنف والشرى.	https://demov2.egypt.dawatech.com/web/image/product.template/18815/image_1920
20.0	أليرجيكس كافيين 20 أقراص	أليرجيكس كافيين		20	أقراص	كافيين + كلورفينوكسامين	مضاد للهيستامين	الحساسية	إييبيكو	فموي صلب	يخفف أعراض الحساسية مثل العطس والحكة وسيلان الأنف والشرى.	https://demov2.egypt.dawatech.com/web/image/product.template/18812/image_1920
40.0	أليرزون 0.1% كريم 25 جم	أليرزون	0.1%	25 جم	كريم	موميتاسون فوروت	مضاد التهاب - كورتيكوستيرويد	الحساسية	إيجبي	موضعي	دواء من نوع الكورتيزون يقلل الالتهاب والتورم وردود الفعل التحسسية أو المناعية.	https://demov2.egypt.dawatech.com/web/image/product.template/17666/image_1920
160.0	ألفافيم 20 كبسولات	ألفافيم		20	كبسولات	ثيوكتيس أسيد (ألفا ليبويس أسيد) + فيتامين ب + فيتامين ب + حمض الفوليك + جينكو بيلوبا + باكوبا إيكستراكت	مضاد للأكسدة	الفيتامينات والمكملات	كوباد فارما	فموي صلب	يوفر مضادات أكسدة تحمي خلايا الجسم وتدعم الصحة العامة.	https://demov2.egypt.dawatech.com/web/image/product.template/6852/image_1920
87.0	ألفينتيرن 30 أقراص	ألفينتيرن		30	أقراص	تشيموتريبسين + تريبسين	علاج تعويض الإنزيم	القلب والضغط	أماون	فموي صلب	يعوّض إنزيمًا ناقصًا في الجسم للتحكم في حالة استقلابية معينة. يتطلب إشرافًا متخصصًا.	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/alphintern-30-tablets-238243.jpg?v=1687634811
46.0	ألبراكس 1 مجم 20 أقراص	ألبراكس	1 مجم	20	أقراص	ألبرازولام	مضادات القلق والمنومات	الصحة النفسية	سيجما	فموي صلب	يخفف القلق ويساعد على النوم. يُستخدم لفترة قصيرة تحت إشراف طبي. يُصرف بوصفة طبية.	https://demov2.egypt.dawatech.com/web/image/product.template/17223/image_1920
50.0	ألفيولين شراب 100 مل	ألفيولين		100 مل	شراب	جرينديليا هيربا إيكستراكت + بريمولا راديكس إيكستراكت + ثيم هيرب إيكستراكت + بيمبينيلا راديكس إيكستراكت + إيوكاليبتوس	أدوية السعال	البرد والسعال	إيجبي	فموي سائل	يخفف السعال ويساعد على تنظيف الصدر.	https://demov2.egypt.dawatech.com/web/image/product.template/16120/image_1920
50.0	ألفيولينب شراب 100 مل	ألفيولينب		100 مل	شراب	جرينديليا هيربا إيكستراكت + بريمولا راديكس إيكستراكت + ثيم هيرب إيكستراكت + بيمبينيلا راديكس إيكستراكت + أنيس أويل + 	أدوية السعال	البرد والسعال	إيجبي	فموي سائل	يخفف السعال ويساعد على تنظيف الصدر.	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/alveolin-p-syrup-100-ml-832954.jpg?v=1707155068
75.0	ألزميندا 10 مجم 21 أقراص	ألزميندا	10 مجم	21	أقراص	ميمانتين	منشط مستقبل الدوبامين D2	المخ والأعصاب	مارسيرل فارماسيوتيكال إندستريز (مبي)	فموي صلب	يعمل مثل الدوبامين في المخ، ويُستخدم في مرض باركنسون والحالات المرتبطة به.	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/alzmenda-10-mg-21-tablets-603744.jpg?v=1687634959
40.0	أماريل 1 مجم 30 أقراص	أماريل	1 مجم	30	أقراص	جليميبيريد	سلفونيل يوريا	السكري	سانوفي	فموي صلب	يخفض سكر الدم في السكري من النوع الثاني بتحفيز البنكرياس على إفراز أنسولين أكثر.	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/amaryl-1-mg-30-tablets-573408.jpg?v=1724440984
78.0	أماريل 2 مجم 30 أقراص	أماريل	2 مجم	30	أقراص	جليميبيريد	سلفونيل يوريا	السكري	سانوفي	فموي صلب	يخفض سكر الدم في السكري من النوع الثاني بتحفيز البنكرياس على إفراز أنسولين أكثر.	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/amaryl-2-mg-30-tablets-208077.jpg?v=1713405820
87.0	أماريل 3 مجم 30 أقراص	أماريل	3 مجم	30	أقراص	جليميبيريد	سلفونيل يوريا	السكري	سانوفي	فموي صلب	يخفض سكر الدم في السكري من النوع الثاني بتحفيز البنكرياس على إفراز أنسولين أكثر.	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/amaryl-3-mg-30-tablets-677125.jpg?v=1696872836
108.0	أماريل 4 مجم 30 أقراص	أماريل	4 مجم	30	أقراص	جليميبيريد	سلفونيل يوريا	السكري	سانوفي	فموي صلب	يخفض سكر الدم في السكري من النوع الثاني بتحفيز البنكرياس على إفراز أنسولين أكثر.	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/amaryl-4-mg-30-tablets-520735.jpg?v=1699069838
102.0	أمبيزيمج 30 أقراص	أمبيزيمج		30	أقراص	تشيموتريبسين + تريبسين	علاج تعويض الإنزيم	القلب والضغط	جلوبال نابي فارماسيوتيكالز	فموي صلب	يعوّض إنزيمًا ناقصًا في الجسم للتحكم في حالة استقلابية معينة. يتطلب إشرافًا متخصصًا.	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/ambezim-g-30-tablets-249701.jpg?v=1687634960
53.0	أميكاسين بخاخ 100 مل	أميكاسين		100 مل	بخاخ	أميكاسين	مضاد حيوي موضعي	العناية بالبشرة	إيجيبتيان كو لـ أدف فارما إيكاب > أكديما إنترناشيونال ترادينج	بخاخ	مضاد حيوي يوضع على الجلد لعلاج أو منع العدوى البكتيرية الموضعية.	https://demov2.egypt.dawatech.com/web/image/product.template/13651/image_1920
54.0	أميلو 5 مجم 30 أقراص	أميلو	5 مجم	30	أقراص	أملوديبين	حاصر قنوات الكالسيوم	القلب والضغط	ألفاكور فارماسيوتيكالز	فموي صلب	يرخي الأوعية الدموية لخفض ضغط الدم وتخفيف ألم الصدر (الذبحة الصدرية).	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/amilo-5-mg-30-tablets-748645.jpg?v=1729197098
900.0	أمينورينوكار 100 أقراص	أمينورينوكار		100	أقراص	ألفا كيتو أنالوج أوفليسوليوسين + ليوسين + لفينيلالانين + لفالين + لميثيونين + ليسين + لثريونين + لتريبتوفان + لهيستيدين + لتيروسين	علاج الفشل الكلوي	المسالك البولية والكلى	أماون	فموي صلب	يدعم علاج الفشل الكلوي ومضاعفاته.	https://demov2.egypt.dawatech.com/web/image/product.template/1208/image_1920
243.0	أميبريد سكوريد 200 مجم 30 أقراص	أميبريد سكوريد	200 مجم	30	أقراص	أميسولبريد	مضادات الذهان النفسية	الصحة النفسية	أندالاوس فارما	فموي صلب	يعالج الحالات النفسية مثل الفصام والاضطراب ثنائي القطب عن طريق موازنة كيمياء المخ. يُصرف بوصفة طبية.	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/amipride-200-mg-30-tabs-204343.jpg?v=1746797938
198.0	أميبريد سكوريد 400 مجم 20 أقراص	أميبريد سكوريد	400 مجم	20	أقراص	أميسولبريد	مضادات الذهان النفسية	الصحة النفسية	أندالاوس فارما	فموي صلب	يعالج الحالات النفسية مثل الفصام والاضطراب ثنائي القطب عن طريق موازنة كيمياء المخ. يُصرف بوصفة طبية.	https://demov2.egypt.dawatech.com/web/image/product.template/7754/image_1920
60.0	أملوديبين 5 مجم 30 أقراص	أملوديبين	5 مجم	30	أقراص	أملوديبين	حاصر قنوات الكالسيوم	القلب والضغط	أمرييا	فموي صلب	يرخي الأوعية الدموية لخفض ضغط الدم وتخفيف ألم الصدر (الذبحة الصدرية).	https://demov2.egypt.dawatech.com/web/image/product.template/14767/image_1920
141.0	أملوسازيد 10/25/40 مجم 30 أقراص	أملوسازيد	10/25/40 مجم	30	أقراص	أملوديبين + أولميسارتان + هيدروكلوروثيازيد	خافض ضغط ثلاثي	القلب والضغط	أتكو فارما	فموي صلب	تركيبة ثلاثية لضغط الدم الصعب السيطرة عليه بدواء واحد.	https://demov2.egypt.dawatech.com/web/image/product.template/9345/image_1920
99.0	أملوسازيد 5/12.5/20 مجم 30 أقراص	أملوسازيد	5/12.5/20 مجم	30	أقراص	أملوديبين + أولميسارتان + هيدروكلوروثيازيد	خافض ضغط ثلاثي	القلب والضغط	أتكو فارما	فموي صلب	تركيبة ثلاثية لضغط الدم الصعب السيطرة عليه بدواء واحد.	https://demov2.egypt.dawatech.com/web/image/product.template/11738/image_1920
123.0	أملوسازيد 5/12.5/40 مجم 30 أقراص	أملوسازيد	5/12.5/40 مجم	30	أقراص	أملوديبين + أولميسارتان + هيدروكلوروثيازيد	خافض ضغط ثلاثي	القلب والضغط	أتكو فارما	فموي صلب	تركيبة ثلاثية لضغط الدم الصعب السيطرة عليه بدواء واحد.	https://demov2.egypt.dawatech.com/web/image/product.template/11264/image_1920
216.0	أملوفيران 10/10 مجم 30 أقراص	أملوفيران	10/10 مجم	30	أقراص	أملوديبين + بيريندوبريل	خافض ضغط مركّب - ACE مع حاصر كالسيوم	القلب والضغط	إيفا فارما	فموي صلب	دواء ضغط ثنائي المفعول يرخي الأوعية الدموية بآليتين مختلفتين.	https://demov2.egypt.dawatech.com/web/image/product.template/8635/image_1920
117.0	أموسار فورت 100/25 مجم 30 أقراص	أموسار فورت	100/25 مجم	30	أقراص	هيدروكلوروثيازيد + لوسارتان	خافض ضغط مركّب - ARB مع مدر بول	القلب والضغط	أماون	فموي صلب	يجمع دواء الضغط مع مدر للبول لسيطرة أقوى على الضغط.	https://demov2.egypt.dawatech.com/web/image/product.template/10866/image_1920
10.0	أمريزول ريكتال 5 لبوس	أمريزول ريكتال		5	لبوس	ميترونيدازول	مضاد طفيليات - نيتروإيميدازول	مضادات الطفيليات	أمرييا	شرجي	يعالج العدوى الطفيلية وبعض العدوى البكتيرية في الأمعاء ومناطق أخرى.	https://demov2.egypt.dawatech.com/web/image/product.template/18696/image_1920
20.0	أمريزول 250 مجم 20 أقراص	أمريزول	250 مجم	20	أقراص	ميترونيدازول	مضاد طفيليات - نيتروإيميدازول	مضادات الطفيليات	أمرييا	فموي صلب	يعالج العدوى الطفيلية وبعض العدوى البكتيرية في الأمعاء ومناطق أخرى.	https://demov2.egypt.dawatech.com/web/image/product.template/17589/image_1920
25.0	أمريزول 500 مجم 20 أقراص	أمريزول	500 مجم	20	أقراص	ميترونيدازول	مضاد طفيليات - نيتروإيميدازول	مضادات الطفيليات	أمرييا	فموي صلب	يعالج العدوى الطفيلية وبعض العدوى البكتيرية في الأمعاء ومناطق أخرى.	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/amrizole-500-mg-20-tablets-287542.jpg?v=1687634960
66.0	أنافرونيل 25 مجم 30 أقراص	أنافرونيل	25 مجم	30	أقراص	كلوميبرامين	مضادات الاكتئاب	الصحة النفسية	نوفارتيس > ساندوز	فموي صلب	يعالج الاكتئاب والقلق عن طريق موازنة كيمياء المخ لتحسين المزاج. يُصرف بوصفة طبية.	https://demov2.egypt.dawatech.com/web/image/product.template/14657/image_1920
106.0	أنافرونيل سر 75 مجم 20 أقراص	أنافرونيل سر	75 مجم	20	أقراص	كلوميبرامين	مضادات الاكتئاب	الصحة النفسية	نوفارتيس > ساندوز	فموي صلب	يعالج الاكتئاب والقلق عن طريق موازنة كيمياء المخ لتحسين المزاج. يُصرف بوصفة طبية.	https://demov2.egypt.dawatech.com/web/image/product.template/9243/image_1920
30.0	أناليرج 4 مجم 60 أقراص	أناليرج	4 مجم	60	أقراص	كلورفينيرامين	مضاد للهيستامين والحساسية	الحساسية	كاهيرا	فموي صلب	يخفف أعراض الحساسية مثل العطس والحكة وسيلان الأنف والشرى.	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/anallerge-4-mg-60-tablets-9726079.jpg?v=1766839645
777.0	أناركول 50 مجم 30 أقراص	أناركول	50 مجم	30	أقراص	نالتريكسون	مسكن أفيوني قوي	المسكنات	مولتيابيكس	فموي صلب	مسكن قوي للألم الشديد الذي لا تسيطر عليه المسكنات الأخف. يُصرف بوصفة طبية.	https://demov2.egypt.dawatech.com/web/image/product.template/3698/image_1920
706.0	أناستروزولسينثون 1 مجم 28 أقراص	أناستروزولسينثون	1 مجم	28	أقراص	أناستروزول	مثبط أروماتيز غير ستيرويدي	صحة المرأة	سينثون هيسبانيا سل > أباوكير ترادينج	فموي صلب	يخفض مستوى الإستروجين لعلاج سرطان الثدي المعتمد على الهرمونات لدى النساء بعد سن اليأس.	https://demov2.egypt.dawatech.com/web/image/product.template/2307/image_1920
51.5	أنكافاز 10/5 مجم 20 أقراص	أنكافاز	10/5 مجم	20	أقراص	أملوديبين + بيريندوبريل	خافض ضغط مركّب - ACE مع حاصر كالسيوم	القلب والضغط	زيتا فارم	فموي صلب	دواء ضغط ثنائي المفعول يرخي الأوعية الدموية بآليتين مختلفتين.	https://demov2.egypt.dawatech.com/web/image/product.template/14247/image_1920
47.0	أنكافاز 5/5 مجم 20 أقراص	أنكافاز	5/5 مجم	20	أقراص	أملوديبين + بيريندوبريل	خافض ضغط مركّب - ACE مع حاصر كالسيوم	القلب والضغط	زيتا فارم	فموي صلب	دواء ضغط ثنائي المفعول يرخي الأوعية الدموية بآليتين مختلفتين.	https://demov2.egypt.dawatech.com/web/image/product.template/14247/image_1920
1100.0	أندوماتويد 2 مجم 28 أقراص	أندوماتويد	2 مجم	28	أقراص	باريسيتينيب	مثبط إنزيم جانوس كيناز (JAK)	الأورام والمناعة	إيفا فارما > أندالاوس فارما	فموي صلب	يهدّئ الالتهاب المناعي في حالات مثل الروماتويد. يتطلب إشرافًا متخصصًا.	https://demov2.egypt.dawatech.com/web/image/product.template/707/image_1920
2200.0	أندوماتويد 4 مجم 28 أقراص	أندوماتويد	4 مجم	28	أقراص	باريسيتينيب	مثبط إنزيم جانوس كيناز (JAK)	الأورام والمناعة	إيفا فارما > أندالاوس فارما	فموي صلب	يهدّئ الالتهاب المناعي في حالات مثل الروماتويد. يتطلب إشرافًا متخصصًا.	https://demov2.egypt.dawatech.com/web/image/product.template/430/image_1920
90.0	أندوبينتين كسر 300 مجم 20 أقراص	أندوبينتين كسر	300 مجم	20	أقراص	جابابنتين	مضاد للصرع - شبيه GABA	المخ والأعصاب	أندالاوس فارما	فموي صلب	يسيطر على النوبات ويخفف الألم المرتبط بالأعصاب.	https://demov2.egypt.dawatech.com/web/image/product.template/7875/image_1920
116.0	أندوبوكسيتين 60 مجم 6 أقراص	أندوبوكسيتين	60 مجم	6	أقراص	دابوكسيتين	علاج سرعة القذف	صحة الرجل	إنترناشيونال دراج إندستريز > أندالاوس فارما	فموي صلب	يساعد على تأخير القذف لعلاج سرعة القذف.	https://demov2.egypt.dawatech.com/web/image/product.template/11265/image_1920
